,label,youtube_id,time_start,time_end,split
250,eating carrots,5rbBpfigX2A,21,31,train
251,eating carrots,5s5BMjSx02w,89,99,train
252,eating carrots,5t6tNSB_KkA,3,13,train
253,eating carrots,5wsPyySztCY,27,37,train
254,eating carrots,5xlxv-Rq_mc,0,10,train
255,eating carrots,61ofyero1pc,4,14,train
256,eating carrots,62g7Lm5ZN5E,158,168,train
257,eating carrots,67y9lnOwV6M,8,18,train
258,eating carrots,68TDhvpWOHg,18,28,train
259,eating carrots,6902sKobdAA,0,10,train
260,eating carrots,6GKbdk1Nfow,69,79,train
261,eating carrots,6Gb1WFsUNig,6,16,train
262,eating carrots,6K9J9NfvDjE,53,63,train
263,eating carrots,6bN0yDFduBQ,20,30,train
264,eating carrots,6j9nB9Eo7Q8,9,19,train
265,eating carrots,6l2-P9-lx2o,23,33,train
266,eating carrots,6lyhR7OfpMU,104,114,train
267,eating carrots,6x-oFjG1xHQ,18,28,train
268,eating carrots,78HEWP8_awA,17,27,train
269,eating carrots,7Htsz_39hpw,2,12,train
270,eating carrots,7cw-otXeyOE,27,37,train
271,eating carrots,7ojtnCZOEA8,5,15,train
272,eating carrots,7sqdZlRw678,27,37,train
273,eating carrots,7wkf8lhD09g,54,64,train
274,eating carrots,7xTG5Eg0uMk,12,22,train
275,eating carrots,7zogkRjdFMo,2,12,train
276,eating carrots,80EmUbYSUEY,38,48,train
277,eating carrots,88lYiEMZ9fI,148,158,train
278,eating carrots,8Qw7xtkKy5U,47,57,train
279,eating carrots,8j5CH9U6kGQ,102,112,train
280,eating carrots,8kS5_122HfE,193,203,train
281,eating carrots,8oz1dacF2z0,9,19,train
282,eating carrots,927z0e4c8v8,66,76,train
283,eating carrots,94TlSE-J2v4,121,131,train
284,eating carrots,97ez47ZxIBw,43,53,train
285,eating carrots,9J6dHuL_oww,3,13,train
286,eating carrots,9J9xECrMPZc,0,10,train
287,eating carrots,9M-eqWXhijw,4,14,train
288,eating carrots,9OZhQqMhX50,3,13,train
289,eating carrots,9XpRtKjcUQo,56,66,train
290,eating carrots,9hz2DuWfgKY,60,70,train
291,eating carrots,9xs6Xz4_S-8,279,289,train
292,eating carrots,A1gpJ9U_GPo,144,154,train
293,eating carrots,A7gVdeqx2ow,22,32,train
294,eating carrots,AO0J7rgmSmk,8,18,train
295,eating carrots,ATaK2cd0GZY,41,51,train
296,eating carrots,AXFTVhLYfLQ,23,33,train
297,eating carrots,AXQGyrJwXPM,2,12,train
298,eating carrots,AYTbJGEg9dc,3,13,train
299,eating carrots,AdZ92vVFOI8,16,26,train
300,eating chips,-7784_WqE1E,16,26,train
301,eating chips,-Cfmw6L4cI0,1,11,train
302,eating chips,-EmZO5rG4rY,22,32,train
303,eating chips,-MoSli_S6hM,15,25,train
304,eating chips,-g6_cnmJp-w,98,108,train
305,eating chips,-lu-uk6lhWY,9,19,train
306,eating chips,-mz_oMFUZL8,0,10,train
307,eating chips,-ySTvnMuqo8,631,641,train
308,eating chips,05PVk0vWvb4,46,56,train
309,eating chips,0J2hIKBCSDg,18,28,train
310,eating chips,0MeWmvQH3WI,6,16,train
311,eating chips,0Pu0PLVQod4,28,38,train
312,eating chips,0SPNuB67cvw,33,43,train
313,eating chips,0TXqmNiNQ5o,22,32,train
314,eating chips,0VkDUjtRo1I,10,20,train
315,eating chips,0bDE-ZiNwJ8,40,50,train
316,eating chips,0dF1FIYYfhk,686,696,train
317,eating chips,0j1lwQJzVWA,5,15,train
318,eating chips,0o1VQXMWwxo,3,13,train
319,eating chips,0wFy3h04GMg,22,32,train
320,eating chips,0xXEfgNiJbQ,23,33,train
321,eating chips,1CSOIiEJwx0,8,18,train
322,eating chips,1DANNB6_6RI,135,145,train
323,eating chips,1JC2GohFh3Q,0,10,train
324,eating chips,1Q2yFZ7jNuw,214,224,train
325,eating chips,1_OOsNcx5tQ,89,99,train
326,eating chips,1dNhN93NSic,1,11,train
327,eating chips,22Y6OZHPPV0,43,53,train
328,eating chips,28bQP2GtXrA,15,25,train
329,eating chips,2B-ZEkCfTmg,22,32,train
330,eating chips,2D9g6QcSnKc,2,12,train
331,eating chips,2FrJ5gswZ0Y,3,13,train
332,eating chips,2eWnvXJWT_4,0,10,train
333,eating chips,2fDjeY7IVi8,0,10,train
334,eating chips,2hZJ8rJr2DI,19,29,train
335,eating chips,2mCBkcarADg,51,61,train
336,eating chips,2v75xvVshtQ,11,21,train
337,eating chips,35j0GIg28sA,24,34,train
338,eating chips,3DQU4ckOrGo,0,10,train
339,eating chips,3HPPPHztn6E,27,37,train
340,eating chips,3Wm03D4MrL0,53,63,train
341,eating chips,3hAAkDhHS8w,24,34,train
342,eating chips,3hLky31EThg,6,16,train
343,eating chips,3pG8EC7uXAc,54,64,train
344,eating chips,3sFpbLDBx0k,0,10,train
345,eating chips,3sZgRDaD5TQ,0,10,train
346,eating chips,42hLKG_6OW8,6,16,train
347,eating chips,46HbtOq5Wq4,19,29,train
348,eating chips,4DM55OUSSBk,1,11,train
349,eating chips,4Hn8-PTrtWo,23,33,train
350,eating chips,4OMUJ8cCZ14,87,97,train
351,eating chips,4U4WXOYp_3w,2,12,train
352,eating chips,4cTafh6wzDI,54,64,train
353,eating chips,4irSsvTEWa8,381,391,train
354,eating chips,4lNKoZafy6I,0,10,train
355,eating chips,4oEzH-XwDqE,77,87,train
356,eating chips,4pzwOSt1hHM,37,47,train
357,eating chips,4scJVocQb28,24,34,train
358,eating chips,55Hd73NeKL4,67,77,train
359,eating chips,56KLwMGwiZI,28,38,train
360,eating chips,5O4O3w8qIxo,15,25,train
361,eating chips,5X05kfjFjuI,4,14,train
362,eating chips,5cqYD3sM3zk,22,32,train
363,eating chips,5ildg4E_8XE,4,14,train
364,eating chips,5j38mBndYJs,6,16,train
365,eating chips,5o7AvWs0sfs,6,16,train
366,eating chips,5oXKKxPnwPY,0,10,train
367,eating chips,5pMIddqmS0w,0,10,train
368,eating chips,5vIHif2L4W0,231,241,train
369,eating chips,64v0kQN0KLw,1,11,train
370,eating chips,6G2XlTwRjxs,2,12,train
371,eating chips,6LLIS8o01bg,61,71,train
372,eating chips,6LOU0xYm8zc,7,17,train
373,eating chips,6WIq7OpBwYc,1,11,train
374,eating chips,6b4Xqit7eHg,1,11,train
375,eating chips,6jHT5jybpP4,5,15,train
376,eating chips,6l4Gv3UNuz0,25,35,train
377,eating chips,6u1t9oyltJw,8,18,train
378,eating chips,70NMkU_8Cis,4,14,train
379,eating chips,70RMIiovmjU,14,24,train
380,eating chips,75iEeeoEJks,250,260,train
381,eating chips,762shWtZig4,263,273,train
382,eating chips,7Fy1CJcNXC8,48,58,train
383,eating chips,7RvfjAYqjcM,224,234,train
384,eating chips,7bzoR6jv8o4,0,10,train
385,eating chips,7vLlS2F3h8Q,0,10,train
386,eating chips,7yedbwzUkOk,198,208,train
387,eating chips,88dBFdc6gIY,2,12,train
388,eating chips,8X0WMtqZXC4,480,490,train
389,eating chips,8YRQ62Mj2I0,8,18,train
390,eating chips,8mufqz81tDI,95,105,train
391,eating chips,8o4N4iwNJfc,6,16,train
392,eating chips,8vOvc7wNAp8,39,49,train
393,eating chips,97qpsDUe5w4,5,15,train
394,eating chips,9IDayDIkexs,32,42,train
395,eating chips,9JbuGELMvv8,807,817,train
396,eating chips,9LpcUeELpKc,243,253,train
397,eating chips,9QW-c45KBRk,10,20,train
398,eating chips,9RftcluePt4,1,11,train
399,eating chips,9Xt59fjrdms,55,65,train
400,eating doughnuts,-0t56gwcfNo,0,10,train
401,eating doughnuts,-5SpQImIzJA,1,11,train
402,eating doughnuts,-8GDHGhNIEY,423,433,train
403,eating doughnuts,-8KaTipBlBY,89,99,train
404,eating doughnuts,-EUeMqaEaiY,12,22,train
405,eating doughnuts,-ZEG-ZimwJg,6,16,train
406,eating doughnuts,-drhuBP6vps,150,160,train
407,eating doughnuts,-eCy2eJiPbU,485,495,train
408,eating doughnuts,-ebVdJQiRps,2,12,train
409,eating doughnuts,-f61kb8neMg,187,197,train
410,eating doughnuts,-oZB6Dur1TI,23,33,train
411,eating doughnuts,-q-43A9FdsU,0,10,train
412,eating doughnuts,-uW75LWnq54,53,63,train
413,eating doughnuts,-xEkPUYYiLk,90,100,train
414,eating doughnuts,0AaQpoTDKmI,3,13,train
415,eating doughnuts,0DUtghm2U34,212,222,train
416,eating doughnuts,0ENa4BRS4mI,6,16,train
417,eating doughnuts,0NBENxItoKY,3,13,train
418,eating doughnuts,0j96MTnQ9Xo,28,38,train
419,eating doughnuts,0lE6TnIiCKA,49,59,train
420,eating doughnuts,0lOQGjgwzGU,1,11,train
421,eating doughnuts,0nCSsXvcGE4,59,69,train
422,eating doughnuts,0qLW6rdj_Fk,6,16,train
423,eating doughnuts,11cJQqs3Y4g,118,128,train
424,eating doughnuts,16CDSpDlU1c,3,13,train
425,eating doughnuts,1CG2c0CIgmg,4,14,train
426,eating doughnuts,1Gx4N5ua39U,76,86,train
427,eating doughnuts,1K8LHKfkWZg,1,11,train
428,eating doughnuts,1MNYX74lHzM,170,180,train
429,eating doughnuts,1QbXSzC_MQY,51,61,train
430,eating doughnuts,1SgJj0ch5Zo,16,26,train
431,eating doughnuts,1X-5jsORZPQ,0,10,train
432,eating doughnuts,1fh5zOe9zg8,19,29,train
433,eating doughnuts,1mU-DOhd2b8,32,42,train
434,eating doughnuts,1pfKrQ-K6Pg,52,62,train
435,eating doughnuts,1wyrh_HjS-Q,100,110,train
436,eating doughnuts,2-slSV1Uakc,1,11,train
437,eating doughnuts,20o4TuhyU1s,3,13,train
438,eating doughnuts,21sdGSKgZME,7,17,train
439,eating doughnuts,2A2Ljy8LiZ0,78,88,train
440,eating doughnuts,2DK4efBL8CI,3,13,train
441,eating doughnuts,2KNrkLmaeYU,12,22,train
442,eating doughnuts,2R3OF0960sA,394,404,train
443,eating doughnuts,2SSN1kmTzjc,67,77,train
444,eating doughnuts,2aSMcnH9l2Q,16,26,train
445,eating doughnuts,2gAbpe2HfnA,35,45,train
446,eating doughnuts,2geAr942i3s,3,13,train
447,eating doughnuts,2lkP6WX1JqE,34,44,train
448,eating doughnuts,2tMDyiO0vAI,213,223,train
449,eating doughnuts,2uJyGgx8_24,25,35,train
450,eating doughnuts,2uOwUqnDPbA,93,103,train
451,eating doughnuts,2xHl3LPMS10,86,96,train
452,eating doughnuts,368WYgd-seU,14,24,train
453,eating doughnuts,36qDuQA4TjI,2,12,train
454,eating doughnuts,37GGeCScCxQ,50,60,train
455,eating doughnuts,38qB3KzurOA,2,12,train
456,eating doughnuts,3OJiLbLWtro,1,11,train
457,eating doughnuts,3S4RfsZcmGM,26,36,train
458,eating doughnuts,3TpxYOKV1Qc,20,30,train
459,eating doughnuts,3WUESDiGU5U,51,61,train
460,eating doughnuts,3fbVfwDWoyg,68,78,train
461,eating doughnuts,3mZdsjsKyYE,0,10,train
462,eating doughnuts,3q2EB4hmqNc,4,14,train
463,eating doughnuts,3uw5tUt4V_k,32,42,train
464,eating doughnuts,3y0UMK5DoQU,143,153,train
465,eating doughnuts,3yfJy9u8khM,22,32,train
466,eating doughnuts,4-AdR_vw8A8,11,21,train
467,eating doughnuts,4-C-hTvJ6gc,10,20,train
468,eating doughnuts,40VTPMXHfYk,170,180,train
469,eating doughnuts,44_nIgOu6i8,3,13,train
470,eating doughnuts,4ACc1F-Li2A,2,12,train
471,eating doughnuts,4CCdYoLTJ2s,0,10,train
472,eating doughnuts,4HprylclHEw,4,14,train
473,eating doughnuts,4QIVW5uk75Q,38,48,train
474,eating doughnuts,4RstXpdSoYQ,39,49,train
475,eating doughnuts,4TFW6uSbUpQ,0,10,train
476,eating doughnuts,4TpWViL-zV4,49,59,train
477,eating doughnuts,4WVLwrWM9_4,97,107,train
478,eating doughnuts,4WZQ02x3zqY,28,38,train
479,eating doughnuts,4mkEZt6u_hE,0,10,train
480,eating doughnuts,4nzbgAvrm2A,222,232,train
481,eating doughnuts,4oJG9NnPY_E,67,77,train
482,eating doughnuts,4rxlwE9FZys,8,18,train
483,eating doughnuts,4vk35gpzDvQ,10,20,train
484,eating doughnuts,5ASzCKFXV7M,39,49,train
485,eating doughnuts,5KcM3hTNP0Q,10,20,train
486,eating doughnuts,5ROQxDvOEMc,4,14,train
487,eating doughnuts,5Z36cSHZZ10,81,91,train
488,eating doughnuts,5aW2wY7RcTs,43,53,train
489,eating doughnuts,5baZZmyy_RA,60,70,train
490,eating doughnuts,5fOGp9tagwM,19,29,train
491,eating doughnuts,5kGvYEXrv1c,19,29,train
492,eating doughnuts,5naNO5gr-dQ,101,111,train
493,eating doughnuts,5o5Fybf1PPk,2,12,train
494,eating doughnuts,5p0YBj5yZDQ,37,47,train
495,eating doughnuts,5y4w78SozkE,191,201,train
496,eating doughnuts,687jMNsrhr4,177,187,train
497,eating doughnuts,6F_tGczXsKQ,4,14,train
498,eating doughnuts,6INzkI8rR9M,107,117,train
499,eating doughnuts,6VeLbavWRro,4,14,train
500,eating hotdog,-2kJpg1NIzM,3,13,train
501,eating hotdog,-DaXMqBzsiU,167,177,train
502,eating hotdog,-RG6SvbKKk4,20,30,train
503,eating hotdog,-jTwxQTSvKk,130,140,train
504,eating hotdog,-qicnRe0k4E,120,130,train
505,eating hotdog,-uNlu8LzEeg,56,66,train
506,eating hotdog,07dVkTTGXv4,367,377,train
507,eating hotdog,0JFJdE0fsFI,10,20,train
508,eating hotdog,0Ktn9LYRu6w,140,150,train
509,eating hotdog,0eRNvk76Fhg,64,74,train
510,eating hotdog,0iNc1DSb2Lc,75,85,train
511,eating hotdog,0y3jWZGQzmo,63,73,train
512,eating hotdog,1BRwWRBtGYg,1,11,train
513,eating hotdog,1Oi2Yjk5dlY,0,10,train
514,eating hotdog,1SCA4jvPpPA,0,10,train
515,eating hotdog,1Uolhqk1LJs,8,18,train
516,eating hotdog,1muEzP1jX_Q,447,457,train
517,eating hotdog,1oXJrBi3Ny0,0,10,train
518,eating hotdog,1wPYnQY9th0,193,203,train
519,eating hotdog,1zaz-wmBRg4,113,123,train
520,eating hotdog,2-Tq5LvwJIc,108,118,train
521,eating hotdog,24EGdvuaQ_A,116,126,train
522,eating hotdog,2DdkP6U4WjY,44,54,train
523,eating hotdog,2GBRqXhNWts,37,47,train
524,eating hotdog,2IJmcaGciho,44,54,train
525,eating hotdog,2QFGQlwx3wo,20,30,train
526,eating hotdog,2S5DMUMvkyw,88,98,train
527,eating hotdog,2Z1fF59Vx_Y,37,47,train
528,eating hotdog,2ZzgcL5BM5c,5,15,train
529,eating hotdog,2yfY6KhdZ4A,4,14,train
530,eating hotdog,33sJRJkE-ME,3,13,train
531,eating hotdog,3G7UII63408,34,44,train
532,eating hotdog,3GD4LE_FTDs,466,476,train
533,eating hotdog,3NKLGx_EphA,50,60,train
534,eating hotdog,3YbuslVAai8,52,62,train
535,eating hotdog,3mjrB7m3YU8,23,33,train
536,eating hotdog,3r4kLXjZ4_E,1,11,train
537,eating hotdog,3rPGdXPEpb8,5,15,train
538,eating hotdog,3seboaPCM6E,95,105,train
539,eating hotdog,3zsqUBED5LM,13,23,train
540,eating hotdog,41o7HuVS0-w,172,182,train
541,eating hotdog,44VjmAkHakU,7,17,train
542,eating hotdog,4G2R1coaRlc,0,10,train
543,eating hotdog,4Gp4OmGGWDs,122,132,train
544,eating hotdog,4WEPeQYLPfI,75,85,train
545,eating hotdog,4bIa7q5fAZA,54,64,train
546,eating hotdog,4cZDoKHx4Hc,15,25,train
547,eating hotdog,4jITw_7Yfk0,30,40,train
